
2023/10/14 (21:11:00) | ===> btop++ v.1.2.13
2023/10/14 (21:11:00) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/10/22 (18:21:52) | ===> btop++ v.1.2.13
2023/10/22 (18:21:52) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/10/22 (20:50:46) | ===> btop++ v.1.2.13
2023/10/22 (20:50:46) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/10/26 (22:25:21) | ===> btop++ v.1.2.13
2023/10/26 (22:25:21) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/10/26 (22:30:48) | ===> btop++ v.1.2.13
2023/10/26 (22:30:48) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...

2023/11/01 (18:16:18) | ===> btop++ v.1.2.13
2023/11/01 (18:16:18) | WARNING: Failed to get disk/partition stats for mount "swap" with statvfs error code: 2. Ignoring...
